# k	cb	gl	xy
706	0.280346	2.20482	1.0279
707	0.155528	1.40541	0.641273
708	0.164504	1.16713	0.574152
709	0.255723	2.18977	0.996847
710	0.193278	1.81808	0.820901
711	0.213165	1.89657	0.911485
712	0.181634	1.9689	0.977174
713	0.158541	1.33821	0.603508
714	0.141637	1.08265	0.610451
715	132.876	5.68607	1282.62
716	0.119861	1.06043	0.535929
717	0.146011	1.01802	0.486281
718	0.83436	1.21759	0.552824
719	0.157451	1.16574	0.641244
720	0.128894	1.1278	0.615193
721	0.134205	1.54007	0.691838
722	0.133086	1.12896	0.577802
723	0.133835	1.00339	0.484003
724	0.22329	2.20547	1.08221
725	0.148773	1.05638	0.636708
726	0.132857	1.18088	0.673388
727	0.225456	2.37418	1.03523
728	0.133673	1.02461	0.566384
729	0.138135	1.28494	0.67663
730	0.131017	1.10641	0.518646
731	0.140643	1.25752	0.594543
732	0.137338	1.02243	0.496487
733	0.132232	1.5562	0.692921
734	0.136808	1.17903	0.665857
735	0.132975	0.990546	0.483604
736	0.13387	1.14248	0.532154
737	0.139904	1.20363	0.561049
738	0.130459	0.98715	0.534451
739	0.136747	1.43961	0.684844
740	0.128657	1.14175	0.608467
741	0.129028	1.00817	0.527096
742	0.231914	2.30074	0.989382
743	0.143207	1.75588	0.720265
744	0.128977	1.08263	0.553565
745	0.214023	2.06692	0.945124
746	0.136363	0.972444	0.543574
747	0.143051	1.16781	0.602644
748	0.136097	1.28979	0.618274
749	0.148676	1.09048	0.629189
750	0.143642	1.41523	0.645663
751	0.15222	1.33392	0.866087
752	0.13788	1.15914	0.595506
753	0.130042	1.01016	0.508002
754	0.158114	1.33396	0.690917
755	0.141216	1.31642	0.637088
756	0.129895	1.07804	0.560521
757	0.208579	1.18837	0.665581
758	0.137351	1.12895	0.60621
759	0.126023	1.02772	0.535298
760	0.238424	2.20014	1.03312
761	0.14757	1.64734	0.775509
762	0.140945	1.11358	0.588108
763	0.219409	2.13913	1.0158
764	0.140436	1.04995	0.606819
765	0.145355	1.16071	0.585207
766	0.25615	2.0403	0.612066
767	0.147309	1.06608	0.576157
768	0.139699	1.29403	0.588561
769	0.214871	1.36983	0.599741
770	0.135345	1.19369	0.576817
771	0.126997	1.047	0.574005
772	0.157847	1.83321	0.72435
773	0.143797	1.36367	0.636615
774	0.12517	1.10265	0.58834
775	0.152978	1.5022	0.583953
776	0.130742	1.21513	0.602485
777	0.127273	1.0165	0.515299
778	0.230025	2.23006	1.03409
779	0.149199	1.15244	0.718406
780	0.141808	1.17817	0.653785
781	0.216528	2.17289	1.02597
782	0.142261	1.19734	0.588553
783	0.145043	1.20889	0.580883
784	0.244489	1.80579	0.65389
785	0.151839	1.1435	0.607594
786	0.143178	1.33262	0.609854
787	0.144324	1.66741	1.04579
788	0.138017	1.14234	0.611535
789	0.122616	1.04635	0.510923
790	0.176	1.81952	0.599993
791	0.144581	1.34628	0.68547
792	0.127307	1.16779	0.604583
793	0.140955	1.32477	0.759116
794	0.135043	1.12775	0.575573
795	0.128083	1.01687	0.548125
796	0.231715	2.24337	1.00291
797	0.161498	1.34979	0.868561
798	0.156324	1.17707	0.662092
799	0.214917	2.12168	0.947938
800	0.150552	1.26738	0.645656
801	0.14486	1.44407	0.693511
802	0.235916	1.17297	0.558057
803	0.150393	1.09131	0.575702
804	0.145981	1.19335	0.614656
805	8.46863	1.58127	3.16408
806	0.138351	1.16081	0.585471
807	0.122212	1.0027	0.516488
808	0.148277	1.41295	0.657131
809	0.148334	1.32913	0.640661
810	0.130252	1.13592	0.585273
811	0.212933	1.21173	0.53764
812	0.141504	1.10795	0.608862
813	0.122053	0.953799	0.51433
814	0.276357	2.29742	1.05262
815	0.154637	1.15714	0.676355
816	0.150607	1.17455	0.687374
817	0.216536	2.15539	0.99469
818	0.154354	1.39575	0.772526
819	0.208348	1.47107	0.757809
