Time	cb	gl	xy
6.840000000000000000e+02	1.340601033576378054e+00	1.555227392682705911e+01	7.823914263831320604e+00
6.870000000000000000e+02	1.264013388986780839e+00	1.562454197282044177e+01	7.652171464193141759e+00
6.900000000000000000e+02	1.342453914773768187e+00	1.423192329086585417e+01	7.013837155310916671e+00
6.930000000000000000e+02	1.257497454701612449e+00	1.505185810465393104e+01	7.518234798131323338e+00
6.960000000000000000e+02	1.307128073584524985e+00	1.458193568885419467e+01	7.153792818938828013e+00
6.990000000000000000e+02	1.303533640514361602e+00	1.682355961654712928e+01	8.238348884177115750e+00
7.020000000000000000e+02	1.251904701119451069e+00	1.580838423107679169e+01	7.756661421411664925e+00
7.050000000000000000e+02	1.233549107595012684e+00	1.531932803102599472e+01	7.508086352485216608e+00
7.080000000000000000e+02	1.312328545192644969e+00	1.576507289441876480e+01	7.815720032665553596e+00
7.110000000000000000e+02	1.256413071577744400e+00	1.529836617427468326e+01	7.534268307128712650e+00
7.140000000000000000e+02	1.272819348314287557e+00	1.652865760762010083e+01	8.210713276902929181e+00
7.170000000000000000e+02	1.268283426586775287e+00	1.573361837252465101e+01	7.655542889680775787e+00
7.200000000000000000e+02	1.173948983585245909e+00	1.466343375232785107e+01	7.120657648404661089e+00
7.230000000000000000e+02	1.222680502898402688e+00	1.527471984806044958e+01	7.407092451856205351e+00
7.260000000000000000e+02	1.278852492155241993e+00	1.593750669158100663e+01	7.692055745290256041e+00
7.290000000000000000e+02	1.286172863798151988e+00	1.523008020661125350e+01	7.654665333916907954e+00
7.320000000000000000e+02	1.242359919439117721e+00	1.624193357328616116e+01	7.844283922745768578e+00
7.350000000000000000e+02	1.238963305996282127e+00	1.678919029061268020e+01	8.279238234051598866e+00
7.380000000000000000e+02	1.206660399714118981e+00	1.572786930059164057e+01	7.727444148433355586e+00
7.410000000000000000e+02	1.257904785733360287e+00	1.711544651930829630e+01	8.299106952622409494e+00
7.440000000000000000e+02	1.232446253275751191e+00	1.766057979766592467e+01	8.499820717602789344e+00
7.470000000000000000e+02	1.237521199831651764e+00	1.645703493354552904e+01	7.968627612310076103e+00
7.500000000000000000e+02	1.238437182989912122e+00	1.717474249790778984e+01	8.325415058641295829e+00
7.530000000000000000e+02	1.227113928493990480e+00	1.580693786322160044e+01	7.612071575647457067e+00
7.560000000000000000e+02	1.271446420016331125e+00	1.682535489564653730e+01	8.219191661387025505e+00
7.590000000000000000e+02	1.262846698129402201e+00	1.710696563950899218e+01	8.312709119419309900e+00
7.620000000000000000e+02	1.238476192867906445e+00	1.653985788497193354e+01	8.096918390141290445e+00
7.650000000000000000e+02	1.260958704725602342e+00	1.717111011000660525e+01	8.333623960650324847e+00
7.680000000000000000e+02	1.234424256000265618e+00	1.547705208878886296e+01	7.630878254560864882e+00
7.710000000000000000e+02	1.267161998136051571e+00	1.728523531644069067e+01	8.444349919935330462e+00
7.740000000000000000e+02	1.272606463341204197e+00	1.652802640541342072e+01	7.943043690511263577e+00
7.770000000000000000e+02	1.250774988229228502e+00	1.779261848137243618e+01	8.694847898776940198e+00
7.800000000000000000e+02	1.241010546345363341e+00	1.782434042816490560e+01	8.650561204200663212e+00
7.830000000000000000e+02	1.236135873626927451e+00	1.646288397754854316e+01	8.063447562793468748e+00
